VARIABLES= "X", "Y", "S", "Pressure", "Isentropic-Mach"
ZONE I=28
 0.000     0.000    0.000   1.604   0.000
 0.293     2.078    2.100   1.587   0.088
 1.051     3.880    4.060   1.565   0.167
 5.070     8.411   10.170   1.398   0.438
11.500     9.846   16.904   1.146   0.704
14.653     8.660   20.298   1.001   0.844
17.250     6.490   23.691   0.951   0.892
19.336     3.867   27.046   0.937   0.907
22.690    -2.008   33.817   0.837   1.006
24.854    -6.971   39.232   0.799   1.045
26.037   -10.124   42.600   0.779   1.066
27.122   -13.346   46.000   0.743   1.105
28.509   -17.886   50.747   0.710   1.141
29.435   -21.127   54.118   0.672   1.183
30.326   -24.382   57.493   0.644   1.216
31.996   -30.940   64.260   0.655   1.203
33.589   -37.501   71.012   0.774   1.071
35.179   -44.080   77.780   0.882   0.960
36.355   -48.941   82.781   0.844   0.999
36.461   -52.305   86.463   0.969   0.875
33.757   -46.920   58.991   1.194   0.657
29.544   -36.083   47.362   1.446   0.378
23.111   -24.202   33.833   1.548   0.209
14.375   -13.866   20.274   1.572   0.145
 6.816    -7.118   10.138   1.583   0.107
 2.087    -3.296    4.057   1.593   0.049
 0.603    -1.918    2.027   1.594   0.036
 0.000     0.000    0.000   1.604   0.000
