VARIABLES= "X", "Y", "S", "Pressure", "Isentropic-Mach"
ZONE I=20
 0.000     0.000    0.000   1.437   0.000
 0.293     2.078    2.100   1.418   0.123
 1.051     3.880    4.060   1.401   0.180
 5.070     8.411   10.170   1.262   0.430
11.500     9.846   16.904   1.048   0.684
14.653     8.660   20.298   0.933   0.808
17.250     6.490   23.691   0.895   0.849
19.336     3.867   27.046   0.882   0.863
22.690    -2.008   33.817   0.837   0.911
24.854    -6.971   39.232   0.811   0.940
26.037   -10.124   42.600   0.799   0.953
27.122   -13.346   46.000   0.789   0.964
28.509   -17.886   50.747   0.807   0.945
29.435   -21.127   54.118   0.808   0.944
30.326   -24.382   57.493   0.816   0.935
31.996   -30.940   64.260   0.844   0.903
33.589   -37.501   71.012   0.866   0.880
35.179   -44.080   77.780   0.874   0.871
36.355   -48.941   82.781   0.857   0.889
36.461   -52.305   86.463   0.935   0.805
ZONE I=7
 0.603    -1.918    2.027   1.428   0.074
 2.087    -3.296    4.057   1.424   0.097
 6.816    -7.118   10.138   1.413   0.141
14.375   -13.866   20.274   1.405   0.170
23.111   -24.202   33.833   1.387   0.218
29.544   -36.083   47.362   1.301   0.375
33.757   -46.920   58.991   1.099   0.628
 
