VARIABLES= "X", "Y", "S", "Pressure", "Isentropic-Mach"
ZONE I=20
 0.000     0.000    0.000   1.487   0.000
 0.293     2.078    2.100   1.469   0.094
 1.051     3.880    4.060   1.450   0.165
 5.070     8.411   10.170   1.302   0.429
11.500     9.846   16.904   1.075   0.690
14.653     8.660   20.298   0.948   0.823
17.250     6.490   23.691   0.909   0.863
19.336     3.867   27.046   0.899   0.874
22.690    -2.008   33.817   0.835   0.941
24.854    -6.971   39.232   0.804   0.975
26.037   -10.124   42.600   0.783   0.997
27.122   -13.346   46.000   0.765   1.018
28.509   -17.886   50.747   0.755   1.028
29.435   -21.127   54.118   0.779   1.002
30.326   -24.382   57.493   0.794   0.985
31.996   -30.940   64.260   0.832   0.944
33.589   -37.501   71.012   0.859   0.916
35.179   -44.080   77.780   0.876   0.897
36.355   -48.941   82.781   0.858   0.917
36.461   -52.305   86.463   0.950   0.820
ZONE I=7
 0.603    -1.918    2.027   1.478   0.000
 2.087    -3.296    4.057   1.474   0.066
 6.816    -7.118   10.138   1.466   0.107
14.375   -13.866   20.274   1.456   0.145
23.111   -24.202   33.833   1.435   0.205
29.544   -36.083   47.362   1.344   0.372
33.757   -46.920   58.991   1.125   0.637
