VARIABLES= "X", "Y", "S", "Pressure", "Isentropic-Mach"
ZONE I=20
 0.000     0.000    0.000   1.613   0.000
 0.293     2.078    2.100   1.596   0.092
 1.051     3.880    4.060   1.573   0.171
 5.070     8.411   10.170   1.404   0.441
11.500     9.846   16.904   1.151   0.706
14.653     8.660   20.298   1.007   0.844
17.250     6.490   23.691   0.956   0.894
19.336     3.867   27.046   0.941   0.908
22.690    -2.008   33.817   0.837   1.011
24.854    -6.971   39.232   0.795   1.055
26.037   -10.124   42.600   0.779   1.071
27.122   -13.346   46.000   0.742   1.110
28.509   -17.886   50.747   0.708   1.148
29.435   -21.127   54.118   0.669   1.192
30.326   -24.382   57.493   0.639   1.227
31.996   -30.940   64.260   0.642   1.223
33.589   -37.501   71.012   0.715   1.140
35.179   -44.080   77.780   0.887   0.961
36.355   -48.941   82.781   0.850   0.998
36.461   -52.305   86.463   0.973   0.877
ZONE I=7
 0.603    -1.918    2.027   1.602   0.059
 2.087    -3.296    4.057   1.601   0.058
 6.816    -7.118   10.138   1.591   0.116
14.375   -13.866   20.274   1.580   0.151
23.111   -24.202   33.833   1.556   0.212
29.544   -36.083   47.362   1.453   0.380
33.757   -46.920   58.991   1.200   0.658
