VARIABLES= "X", "Y", "S", "Pressure", "Isentropic-Mach"
ZONE I=20
 0.000     0.000    0.000   1.435   0.000
 0.293     2.078    2.100   1.417   0.131
 1.051     3.880    4.060   1.401   0.184
 5.070     8.411   10.170   1.261   0.433
11.500     9.846   16.904   1.046   0.687
14.653     8.660   20.298   0.933   0.809
17.250     6.490   23.691   0.894   0.851
19.336     3.867   27.046   0.882   0.863
22.690    -2.008   33.817   0.837   0.912
24.854    -6.971   39.232   0.811   0.940
26.037   -10.124   42.600   0.799   0.953
27.122   -13.346   46.000   0.790   0.964
28.509   -17.886   50.747   0.807   0.945
29.435   -21.127   54.118   0.808   0.944
30.326   -24.382   57.493   0.816   0.935
31.996   -30.940   64.260   0.845   0.903
33.589   -37.501   71.012   0.866   0.881
35.179   -44.080   77.780   0.874   0.872
36.355   -48.941   82.781   0.857   0.890
36.461   -52.305   86.463   0.936   0.806
ZONE I=7
 0.603    -1.918    2.027   1.427   0.084
 2.087    -3.296    4.057   1.424   0.102
 6.816    -7.118   10.138   1.414   0.143
14.375   -13.866   20.274   1.407   0.164
23.111   -24.202   33.833   1.386   0.221
29.544   -36.083   47.362   1.299   0.379
33.757   -46.920   58.991   1.098   0.630
