VARIABLES= "X", "Y", "S", "Pressure", "Isentropic-Mach"
ZONE I=28
 0.000     0.000    0.000   1.487   0.000
 0.293     2.078    2.100   1.469   0.077
 1.051     3.880    4.060   1.451   0.155
 5.070     8.411   10.170   1.302   0.426
11.500     9.846   16.904   1.074   0.689
14.653     8.660   20.298   0.947   0.821
17.250     6.490   23.691   0.908   0.862
19.336     3.867   27.046   0.898   0.873
22.690    -2.008   33.817   0.834   0.941
24.854    -6.971   39.232   0.804   0.973
26.037   -10.124   42.600   0.782   0.997
27.122   -13.346   46.000   0.764   1.017
28.509   -17.886   50.747   0.760   1.022
29.435   -21.127   54.118   0.777   1.003
30.326   -24.382   57.493   0.793   0.985
31.996   -30.940   64.260   0.833   0.942
33.589   -37.501   71.012   0.858   0.915
35.179   -44.080   77.780   0.875   0.897
36.355   -48.941   82.781   0.856   0.917
36.461   -52.305   86.463   0.949   0.820
33.757   -46.920   58.991   1.124   0.636
29.544   -36.083   47.362   1.344   0.368
23.111   -24.202   33.833   1.436   0.198
14.375   -13.866   20.274   1.457   0.135
 6.816    -7.118   10.138   1.467   0.090
 2.087    -3.296    4.057   1.474   0.031
 0.603    -1.918    2.027   1.479   0.000
 0.000     0.000    0.000   1.487   0.000
