VARIABLES= "X", "Y", "S", "Pressure", "Isentropic-Mach"
ZONE I=20
 0.000     0.000    0.000   1.612   0.000
 0.293     2.078    2.100   1.592   0.120
 1.051     3.880    4.060   1.570   0.185
 5.070     8.411   10.170   1.403   0.446
11.500     9.846   16.904   1.147   0.711
14.653     8.660   20.298   1.004   0.849
17.250     6.490   23.691   0.954   0.897
19.336     3.867   27.046   0.937   0.913
22.690    -2.008   33.817   0.837   1.013
24.854    -6.971   39.232   0.799   1.051
26.037   -10.124   42.600   0.780   1.071
27.122   -13.346   46.000   0.745   1.109
28.509   -17.886   50.747   0.712   1.144
29.435   -21.127   54.118   0.671   1.191
30.326   -24.382   57.493   0.642   1.225
31.996   -30.940   64.260   0.648   1.218
33.589   -37.501   71.012   0.806   1.045
35.179   -44.080   77.780   0.886   0.963
36.355   -48.941   82.781   0.847   1.002
36.461   -52.305   86.463   0.970   0.881
ZONE I=7
 0.603    -1.918    2.027   1.603   0.067
 2.087    -3.296    4.057   1.600   0.082
 6.816    -7.118   10.138   1.589   0.130
14.375   -13.866   20.274   1.581   0.157
23.111   -24.202   33.833   1.556   0.217
29.544   -36.083   47.362   1.451   0.386
33.757   -46.920   58.991   1.199   0.661
